"Title","Economic inactivity by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography code","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95% CI","lower 95% CI","Sample size"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","21.2","%","432,276","91,722","24.60%","17.90%","1,436"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","26.0","%","2,562,403","667,277","27.40%","24.60%","9,497"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","20.0","%","1,137,769","227,281","22.00%","18.00%","3,769"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","27.0","%","868,895","234,946","29.60%","24.50%","2,979"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","24.4","%","5,001,343","1,221,226","25.40%","23.40%","17,681"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","31.4","%","32013","10066","44.90%","18.00%","114"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","19.3","%","37,025,257","7,144,253","19.50%","19.10%","155,534"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","7.9","%","5866945","460866","8.20%","7.50%","23034"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","9.4","%","86629","8182","15.10%","3.80%","254"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","5.5","%","607683","33540","7.10%","4.00%","2039"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","4.7","%","226914","10675","7.10%","2.30%","721"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","8.3","%","209597","17392","11.70%","4.90%","629"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","6.2","%","1130823","69789","7.40%","4.90%","3643"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","7.6","%","7003163","531337","7.90%","7.30%","26698"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.4","%","3119932","324527.5","10.90%","9.90%","12891"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.4","%","36473.5","3777","19.30%","1.40%","111.5"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","11.2","%","128699","14448.5","16.00%","6.40%","417.5"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.3","%","63570.5","6562.5","16.90%","3.70%","205.5"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","18.9","%","35742","6751.5","30.60%","7.20%","107.5"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","11.9","%","264485","31539.5","15.40%","8.50%","842"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.5","%","3386137","356153","11.00%","10.00%","13739"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","13.8","%","2784635","384061.5","14.40%","13.20%","11746"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","18.8","%","31854.5","5988","30.40%","7.20%","108.5"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","23.2","%","139515","32301.5","29.40%","16.90%","442.5"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","24.5","%","64240.5","15758.5","33.90%","15.10%","201.5"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","31.6","%","34755","10972.5","45.30%","17.90%","110.5"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","24.0","%","270365","65020.5","28.60%","19.50%","863"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2017","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","14.7","%","3055182","449082","15.30%","14.10%","12610"
