"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1642","40354","37564","6054","5701","1282","1215"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","126","3089","2427","596","444","1282","1215"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","201","4931","4401","1306","1150","1282","1215"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","592","14550","11665","764","624","1282","1215"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","224","5510","5068","8633","7933","1282","1215"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","4040","87124","77865","19222","16823","1124","1028"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","43","920","730","407","314","1124","1028"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","349","7534","6617","2211","1960","1124","1028"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","1458","31438","27746","4371","3855","1124","1028"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","1081","23307","22056","2767","2601","1124","1028"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","213","4597","3763","659","531","1124","1028"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","144","3108","2480","781","631","1124","1028"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","421","9074","8219","584","470","1124","1028"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","195","4213","3627","6995","6092","1124","1028"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","6944","9436109","8986436","1423537","1342349","70848","70583"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","58","78406","69351","25564","22456","70848","70583"
