"Measure","Year","Sex","Age Group","Ethnicity","Remand Status","Police Force Area","Count","Denominator","Value"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Wiltshire","7","43","16.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","special/miscellaneous and unknown police forces","2","43","4.7"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Avon and Somerset","34","43","79.1"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Avon and Somerset","25","59","42.4"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Avon and Somerset","19","59","32.2"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Bedfordshire","15","59","25.4"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Bedfordshire","9","29","31.0"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Bedfordshire","2","29","6.9"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Cambridgeshire","18","29","62.1"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Cambridgeshire","10","24","41.7"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Cambridgeshire","9","24","37.5"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Cheshire","5","24","20.8"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Cheshire","10","16","62.5"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Cheshire","3","16","18.8"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Cleveland","3","16","18.8"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Cleveland","1","3","33.3"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Cumbria","1","3","33.3"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Cumbria","1","3","33.3"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Derbyshire","16","38","42.1"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Derbyshire","15","38","39.5"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Derbyshire","7","38","18.4"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Devon and Cornwall","5","12","41.7"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Devon and Cornwall","6","12","50.0"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Devon and Cornwall","1","12","8.3"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Dorset","6","16","37.5"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Dorset","7","16","43.8"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Dorset","3","16","18.8"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Durham","3","8","37.5"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Durham","3","8","37.5"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Dyfed-Powys","2","8","25.0"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Dyfed-Powys","2","26","7.7"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Essex","16","26","61.5"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Essex","8","26","30.8"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Essex","6","12","50.0"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Bail","Gloucestershire","1","12","8.3"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Custody","Gloucestershire","5","12","41.7"
"percentage of people on remand by status and police force area","2016","All","All","Mixed","Not remanded","Gloucestershire","2","133","1.5"
