"Title","Phonics attainments for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Value","Denominator","Boys-value","Denominator","Girls-value","Denominator"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Greenwich","E09000011","White","DFE","All","82","1593","79","1056","86","5617"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Waltham Forest","E09000031","White","DFE","All","82","1542","79","4469","86","466"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Buckinghamshire","E10000002","White","DFE","All","82","4818","79","1233","86","553"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Surrey","E10000030","White","DFE","All","82","10773","79","5862","86","1189"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Wokingham","E06000041","White","DFE","All","82","1635","79","867","86","996"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Devon","E10000008","White","DFE","All","82","7356","79","1109","86","746"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bury","E08000002","White","DFE","All","83","1817","79","769","86","2482"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire East","E06000049","White","DFE","All","83","3787","79","836","86","942"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Rochdale","E08000005","White","DFE","All","83","1967","79","796","86","3636"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Warrington","E06000007","White","DFE","All","83","2386","79","625","86","746"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wigan","E08000010","White","DFE","All","83","3601","79","5397","86","1427"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North Lincolnshire","E06000013","White","DFE","All","83","1780","79","3720","87","2735"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Lincolnshire","E10000019","White","DFE","All","83","7679","79","1184","87","543"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Solihull","E08000029","White","DFE","All","83","2089","80","1136","87","761"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Staffordshire","E10000028","White","DFE","All","83","8591","80","900","87","1129"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Barnet","E09000003","White","DFE","All","83","2366","80","1030","87","1796"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Brent","E09000005","White","DFE","All","83","1142","80","919","87","861"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hounslow","E09000018","White","DFE","All","83","1230","80","3992","87","3687"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Bracknell Forest","E06000036","White","DFE","All","83","1234","80","949","87","4122"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","North Somerset","E06000024","White","DFE","All","83","2291","80","1177","87","532"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Poole","E06000029","White","DFE","All","83","1562","80","610","87","609"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Northumberland","E06000057","White","DFE","All","84","3187","80","2497","87","1107"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Stockton-on-Tees","E06000004","White","DFE","All","84","2265","80","842","88","1419"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Telford and Wrekin","E06000020","White","DFE","All","84","1930","80","816","88","1727"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lewisham","E09000023","White","DFE","All","84","1378","81","647","88","1033"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Newham","E09000025","White","DFE","All","84","950","81","1631","88","981"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Southwark","E09000028","White","DFE","All","84","1124","81","1227","88","207"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Ealing","E09000009","White","DFE","All","84","1541","81","706","88","594"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Havering","E09000016","White","DFE","All","84","2225","81","571","88","672"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Hartlepool","E06000001","White","DFE","All","85","1107","81","1121","88","772"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Rutland","E06000017","White","DFE","All","85","377","82","564","88","1104"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lambeth","E09000022","White","DFE","All","85","1110","82","513","88","582"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bromley","E09000006","White","DFE","All","85","2799","82","327","89","244"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Darlington","E06000005","White","DFE","All","86","1209","82","516","89","1331"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hackney","E09000012","White","DFE","All","86","982","82","484","89","611"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hammersmith and Fulham","E09000013","White","DFE","All","86","637","82","1468","90","1057"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Trafford","E08000009","White","DFE","All","87","2152","84","1095","90","469"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Wandsworth","E09000032","White","DFE","All","87","1412","85","739","90","673"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kingston upon Thames","E09000021","White","DFE","All","87","1267","85","656","90","928"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kensington and Chelsea","E09000020","White","DFE","All","88","405","86","226","91","562"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Westminster","E09000033","White","DFE","All","88","470","88","198","91","310"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Richmond upon Thames","E09000027","White","DFE","All","89","1925","88","997","92","204"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","City of London","E09000001","White","DFE","All","!","!","!","!","!","!"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Isles of Scilly","E06000053","White","DFE","All","!","!","!","!","!","!"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","All","All - England","All","All","DFE","All","81","","77","","84",""
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","All","All - England","All","White","DFE","All","80","","77","","84",""
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","All","All - England","All","Mixed","DFE","All","82","","78","","86",""
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","All","All - England","All","Asian","DFE","All","84","","81","","87",""
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","All","All - England","All","Black","DFE","All","82","","78","","86",""
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","All","All - England","All","Chinese","DFE","All","88","","86","","90",""
