"Title","Employment by qualification level"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","50.60%","%","293487","148481","55.20%","46.00%","1135"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","65.70%","%","1120598","735976","67.00%","64.30%","4858"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","39.50%","%","1185238","468328","40.70%","38.30%","6032"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","18.50%","%","174377","32233","23.00%","14.00%","720"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","33.60%","%","53378","17932","43.80%","23.40%","207"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","28.20%","%","54649","15417","37.70%","18.70%","217"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","24.20%","%","298355","72095","28.00%","20.30%","1206"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","36.40%","%","1483593","540423","37.50%","35.30%","7238"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","52.80%","%","37429","19781","60.60%","45.10%","158"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","48.50%","%","43771","21231","55.80%","41.20%","180"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","74.80%","%","16049174","12008792","75.10%","74.50%","72291"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","71.10%","%","241499","171787","76.00%","66.30%","848"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","56.20%","%","1283213","721299","58.40%","54.00%","4902"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","67.40%","%","607153","409436","70.60%","64.20%","2070"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","60.30%","%","459863","277313","64.10%","56.50%","1613"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","61.00%","%","2591728","1579835","62.50%","59.40%","9433"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","72.90%","%","18653982","13596056","73.20%","72.60%","81776"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","86.80%","%","12459047","10816382","87.10%","86.50%","51842"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","83.10%","%","199133","165397","87.70%","78.50%","638"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","82.10%","%","1189886","977025","83.90%","80.30%","4203"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","83.80%","%","507912","425381","86.60%","80.90%","1662"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","78.00%","%","452485","352979","81.40%","74.60%","1431"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","81.80%","%","2349416","1920782","83.10%","80.40%","7934"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","86.00%","%","14818301","12745655","86.30%","85.70%","59817"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","83.40%","%","5771045","4810496","83.80%","82.90%","24617.5"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","82.20%","%","71684.5","58916.5","90.10%","74.30%","226"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","71.20%","%","266618","189905.5","75.80%","66.60%","926"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","75.70%","%","150285.5","113812.5","81.80%","69.60%","474.5"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","69.60%","%","75741","52710","78.80%","60.40%","240"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","73.60%","%","564329","415344.5","76.80%","70.40%","1866.5"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","82.50%","%","6338444","5227922.5","82.90%","82.00%","26496"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","76.90%","%","5702727","4383781","77.40%","76.40%","25121.5"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","67.20%","%","74353.5","49968.5","76.30%","58.10%","255"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","60.40%","%","266707","160968.5","65.30%","55.40%","932"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","64.10%","%","138334.5","88723.5","71.10%","57.10%","452.5"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","59.00%","%","63691","37556","69.40%","48.60%","215"
