"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)","Notes","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","All - including BTP","Police Force Area","375,720"," 504,446 ","48,209,395","7.79","74.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","All - including BTP","Police Force Area","42,296"," 504,446 ","3,820,390","11.07","8.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","All - including BTP","Police Force Area","63,704"," 504,446 ","1,864,890","34.16","12.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","All - including BTP","Police Force Area","7,374"," 504,446 ","956,837","7.71","1.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed","ONS 2001 5+1","All - including BTP","Police Force Area","15,352"," 504,446 ","1,224,400","12.54","3.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Unreported","ONS 2001 5+1","All - including BTP","Police Force Area","31,223"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","Avon & Somerset","Police Force Area","8,645"," 9,973 ","1,491,970","5.79","86.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","Avon & Somerset","Police Force Area","227"," 9,973 ","33,005","6.88","2.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","Avon & Somerset","Police Force Area","759"," 9,973 ","30,923","24.54","7.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","Avon & Somerset","Police Force Area","61"," 9,973 ","15,380","3.97","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed","ONS 2001 5+1","Avon & Somerset","Police Force Area","281"," 9,973 ","28,277","9.94","2.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Unreported","ONS 2001 5+1","Avon & Somerset","Police Force Area","426"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","Bedfordshire","Police Force Area","1,641"," 2,476 ","476,647","3.44","66.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","Bedfordshire","Police Force Area","445"," 2,476 ","81,480","5.46","18.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","Bedfordshire","Police Force Area","235"," 2,476 ","29,725","7.91","9.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","Bedfordshire","Police Force Area","17"," 2,476 ","8,753","1.94","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed","ONS 2001 5+1","Bedfordshire","Police Force Area","138"," 2,476 ","18,456","7.48","5.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Unreported","ONS 2001 5+1","Bedfordshire","Police Force Area","496"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","British Transport Police","Police Force Area","4,130"," 5,725 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","British Transport Police","Police Force Area","438"," 5,725 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","British Transport Police","Police Force Area","812"," 5,725 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","British Transport Police","Police Force Area","53"," 5,725 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed","ONS 2001 5+1","British Transport Police","Police Force Area","292"," 5,725 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Unreported","ONS 2001 5+1","British Transport Police","Police Force Area","1,097"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","Cambridgeshire","Police Force Area","4,850"," 5,715 ","726,531","6.68","84.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","Cambridgeshire","Police Force Area","427"," 5,715 ","39,535","10.80","7.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","Cambridgeshire","Police Force Area","254"," 5,715 ","10,174","24.97","4.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","Cambridgeshire","Police Force Area","40"," 5,715 ","12,572","3.18","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed","ONS 2001 5+1","Cambridgeshire","Police Force Area","144"," 5,715 ","16,029","8.98","2.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Unreported","ONS 2001 5+1","Cambridgeshire","Police Force Area","309"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","Cheshire","Police Force Area","8,694"," 9,203 ","995,998","8.73","94.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","Cheshire","Police Force Area","168"," 9,203 ","12,794","13.13","1.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","Cheshire","Police Force Area","138"," 9,203 ","3,264","42.28","1.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","Cheshire","Police Force Area","64"," 9,203 ","5,230","12.24","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed","ONS 2001 5+1","Cheshire","Police Force Area","139"," 9,203 ","10,423","13.34","1.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Unreported","ONS 2001 5+1","Cheshire","Police Force Area","165"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","Cleveland","Police Force Area","8,799"," 9,281 ","526,456","16.71","94.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","Cleveland","Police Force Area","259"," 9,281 ","17,419","14.87","2.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","Cleveland","Police Force Area","129"," 9,281 ","3,156","40.87","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","Cleveland","Police Force Area","30"," 9,281 ","4,434","6.77","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed","ONS 2001 5+1","Cleveland","Police Force Area","64"," 9,281 ","5,762","11.11","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Unreported","ONS 2001 5+1","Cleveland","Police Force Area","37"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","Cumbria","Police Force Area","5,476"," 5,622 ","492,257","11.12","97.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","Cumbria","Police Force Area","43"," 5,622 ","2,913","14.76","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","Cumbria","Police Force Area","11"," 5,622 ","579","19.00","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","Cumbria","Police Force Area","63"," 5,622 ","1,605","39.25","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed","ONS 2001 5+1","Cumbria","Police Force Area","29"," 5,622 ","2,504","11.58","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Unreported","ONS 2001 5+1","Cumbria","Police Force Area","532"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","Derbyshire","Police Force Area","4,622"," 5,291 ","949,845","4.87","87.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","Derbyshire","Police Force Area","356"," 5,291 ","36,871","9.66","6.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","Derbyshire","Police Force Area","133"," 5,291 ","10,090","13.18","2.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","Derbyshire","Police Force Area","19"," 5,291 ","7,281","2.61","0.4%","","","","","",""
